"yearCombine","Player","Position","Height","Weight","Wingspan","Standing Reach","Lane Agiity","Body Fat %"
2012,"Chandler Parsons","SF",80.75,221.2,81.5,104.5,11.05,7
2012,"Jereme Richmond","SF",78,207.2,82.25,106.5,11.74,5.5
2012,"Josh Selby","SG",73.75,194.6,77.25,98,11.13,7.9
2012,"Iman Shumpert","PG",76.25,221.8,81.5,99.5,11.1,6.5
2012,"Kyle Singler","SF",79.5,228,82.1,106,11.22,10
2012,"Chris Singleton","SF",79.75,230.2,85,103.5,11.33,7.4
2012,"Jamie Skeen","PF",78.5,241.6,85.25,106.5,12.43,9.8
2012,"Nolan Smith","PG",73.5,187.6,77.5,99,11.05,5.6
2012,"Gregory Smith","PF",80,252.8,86.5,106.5,12.43,7.4
2012,"Malcolm Thomas","PF",79.5,223,84.5,107.5,11.31,5.9
2012,"Isaiah Thomas","PG",68.75,186,73.75,91.5,10.49,6.7
2012,"Trey Thompkins","PF",80.5,239,85,107.5,11.72,15.5
2012,"Tristan Thompson","PF",79.5,227.4,85.25,108.5,10.92,6.2
2012,"Klay Thompson","SG",77.75,205.6,81,103.5,10.99,8
2012,"Jeremy Tyler","PF",81,262.4,89,110.5,11.26,13.4
2012,"Nikola Vucevic","PF",82.25,259.8,88.5,112.5,12.02,6.1
2012,"Kemba Walker","PG",71.5,184,75.5,91.5,10.87,5.9
2012,"Jordan Williams","PF",79.75,247.2,84.25,106.5,12.74,12.1
2012,"Derrick Williams","PF",79.25,248.4,85.5,108,11.03,10.8
2013,"Quincy Acy","PF",78.5,223.8,86.75,106.5,10.48,7.1
2013,"Harrison Barnes","SF",79,227.8,83.25,101.5,10.93,9.6
2013,"Will Barton","SG",77,174.4,81.75,102.5,12.5,4.1
2013,"Bradley Beal","SG",75.25,201.8,80,100,10.95,6
2013,"J'Covan Brown","PG",73,202.4,77.25,96,11.68,12.5
2013,"William Buford","SG",76,214.6,81.5,102,11.4,11.3
2013,"Jae Crowder","SF",76.75,241.2,81.25,99.5,11.45,9
2013,"Jared Cunningham","SG",75.5,187.6,78.5,98,NA,3.6
2013,"Anthony Davis","PF",81.25,221.8,89.5,108,NA,7.9
2013,"Marcus Denmon","SG",74.25,188.2,77,94.5,10.82,6.6
2013,"Andre Drummond","C",81.75,278.6,90.25,109.5,10.83,7.5
