Year,Player,Position,OBPM,DBPM
2019,Aron Baynes,C,-0.2,-0.8
2019,Kent Bazemore,SF,-3.4,0.3
2019,Darius Bazley,PF,-2.1,0.5
2019,Bradley Beal,SG,5.3,-2.4
2019,Malik Beasley,SG,-0.7,-1.4
2019,Marco Belinelli,SG,-0.7,-2
2019,DeAndre' Bembry,SG,-3.5,1.1
2019,Davis Bertans,PF,2.7,-1.8
2019,Patrick Beverley,PG,-0.3,2.5
2019,Khem Birch,C,-2.5,0.2
2019,Bismack Biyombo,C,-1.8,-0.7
2019,Nemanja Bjelica,PF,1.2,0.5
2019,Eric Bledsoe,PG,0.8,1
2019,Bogdan Bogdanovic,SG,1.2,-0.5
2019,Bojan Bogdanovic,SF,1.6,-1.5
2019,Isaac Bonga,SF,-2.7,-0.1
2019,Devin Booker,SG,3.4,-1.3
2019,Chris Boucher,C,1,1
2019,Ky Bowman,PG,-4,-0.3
2019,Avery Bradley,SG,-3,0.5
2019,Mikal Bridges,SF,-0.6,1.5
2019,Miles Bridges,SF,-1.5,-1
2019,Malcolm Brogdon,PG,2.3,-0.5
2019,Dillon Brooks,SG,-2.7,-1.4
2019,Bruce Brown,PG,-2,0.8
2019,Jaylen Brown,SG,1,-0.2
2019,Sterling Brown,SF,-3,1
2019,Troy Brown Jr.,SF,-0.8,-0.4
2019,Jalen Brunson,PG,0.1,-1
2019,Thomas Bryant,C,2.9,-0.7
2019,Alec Burks,SF-SG,1.2,-0.7
2019,Jimmy Butler,SF,4,1.5
2019,Kentavious Caldwell-Pope,SG,-1.2,0.4
2019,Clint Capela,C,1,0.4
2019,Jevon Carter,PG,-0.7,1.3
2019,Vince Carter,PF,-3.1,-1.2
2019,Wendell Carter Jr.,C,-2.1,-0.3
2019,Michael Carter-Williams,SG,-1.5,1.6
2019,Alex Caruso,PG,-2.6,2.4
2019,Willie Cauley-Stein,C,-1.2,1.7
2019,Wilson Chandler,PF,-3.7,1
2019,Marquese Chriss,PF,0,0.6
2019,Brandon Clarke,PF,2.4,0.7
2019,Jordan Clarkson,SG,2.4,-1.3
2019,John Collins,PF,3.7,-0.6
2019,Mike Conley,PG,0.7,-0.4
2019,Pat Connaughton,SG,-0.9,1.5
2019,Robert Covington,PF-C,-1.2,1.3
2019,Torrey Craig,SF,-2,-0.3
2019,Jae Crowder,SF-PF,-0.5,0.4
2019,Jarrett Culver,SG,-3.3,-0.7
2019,Seth Curry,SG,1.7,-0.9
2019,Anthony Davis,PF,5.4,2.6
2019,Terence Davis,SG,0.1,0.7
2019,Dewayne Dedmon,C,-5.8,0
2019,Matthew Dellavedova,PG,-3.6,-1.6
2019,DeMar DeRozan,SF,2.3,-0.4
2019,Hamidou Diallo,SF,-4.2,0.3
2019,Gorgui Dieng,C,-0.2,1.8
2019,Spencer Dinwiddie,PG,2.7,-0.9
2019,Donte DiVincenzo,SG,-1.1,2.4
2019,Luka Doncic,PG,7.4,1
2019,Luguentz Dort,SF,-4.1,0.4
2019,Damyean Dotson,SG,-0.9,-0.5
2019,Sekou Doumbouya,PF,-5.2,-1.4
2019,Goran Dragic,PG,1.4,-1.6
2019,Andre Drummond,C,-0.1,1.1
2019,Kris Dunn,PG,-3.8,3.1
2019,Joel Embiid,C,3.7,1
2019,James Ennis III,SF-SG,-2.2,-0.4
2019,Derrick Favors,C,0.7,0.3
2019,Terrance Ferguson,SF,-4.8,0.3
2019,Bruno Fernando,C,-3.2,-0.9
2019,Dorian Finney-Smith,PF,0.1,-0.3
2019,Bryn Forbes,SG,-0.6,-2.1
2019,Evan Fournier,SF,1.4,-0.4
2019,De'Aaron Fox,PG,2.3,-0.5
2019,Enes Freedom,C,1.8,-0.3
2019,Markelle Fultz,PG,-1.8,0
2019,Danilo Gallinari,PF,4.1,-0.9
2019,Langston Galloway,SG,0,-0.9
2019,Darius Garland,SG,-2.7,-2.8
2019,Marc Gasol,C,-1.2,2.8
2019,Rudy Gay,PF,0,-0.9
2019,Paul George,SF,3.8,1.1
2019,Taj Gibson,C,-0.8,-0.3
2019,Shai Gilgeous-Alexander,SG,1.3,0.4
2019,Rudy Gobert,C,1.7,1.9
2019,Aaron Gordon,PF,-0.1,0.1
2019,Eric Gordon,SF,-1.8,-2.1
2019,Devonte' Graham,PG,2.5,-2.1
2019,Treveon Graham,SF,-4.5,-1.1
2019,Jerami Grant,PF,0.1,-0.6
2019,Danny Green,SG,-1.1,1.5
2019,Draymond Green,PF,-2.1,1.9
2019,JaMychal Green,PF,-1.2,0.7
2019,Jeff Green,PF-C,0,-0.1
2019,Rui Hachimura,PF,-1.2,-2
2019,Tim Hardaway Jr.,SG,1.2,-1.4
2019,James Harden,SG,8.1,1.6
2019,Maurice Harkless,PF-SF,-2.6,1.9
2019,Montrezl Harrell,C,2.5,0.5
2019,Gary Harris,SG,-2.8,0.3
2019,Joe Harris,SF,0.4,-0.6
2019,Tobias Harris,PF,1.3,-0.5
2019,Josh Hart,SF,-1.1,0.4
2019,Jaxson Hayes,C,-0.9,0.6
2019,Gordon Hayward,SF,2.6,0.1
2019,Juancho Hernangomez,PF,-2.2,-1.1
2019,Tyler Herro,SG,-0.4,-1.2
2019,Mario Hezonja,PF,-3.1,0.2
2019,Buddy Hield,SG,2.5,-1.4
2019,George Hill,PG,1.6,1.3
2019,Solomon Hill,PF,-2,0.3
2019,Aaron Holiday,PG,-1.6,0
2019,Jrue Holiday,SG,1.6,0.2
2019,Justin Holiday,SF,-0.5,1.8
2019,Rondae Hollis-Jefferson,PF,-1.2,1.5
2019,Richaun Holmes,C,0.3,0.7
2019,Al Horford,C,1.3,1
2019,Danuel House Jr.,SF,-0.8,0
2019,Dwight Howard,C,-1,1.2
2019,Kevin Huerter,SG,-0.7,-0.9
2019,De'Andre Hunter,SF,-2.9,-1.8
2019,Serge Ibaka,C,0.1,0
2019,Ersan Ilyasova,PF,-0.3,0.8
2019,Joe Ingles,PF,0.1,0.7
2019,Brandon Ingram,PF,2.5,-0.4
2019,Jonathan Isaac,PF,-0.6,2.9
2019,Wes Iwundu,SF,-2.7,0
2019,Frank Jackson,PG,-3.3,-2.2
2019,Jaren Jackson Jr.,C,0.3,0.1
2019,Justin Jackson,PF,-2.1,-1.3
2019,Reggie Jackson,SG-PG,0.9,-1.2
2019,LeBron James,PG,6.6,1.8
2019,Cameron Johnson,PF,0.8,-0.4
2019,Tyler Johnson,PG-SG,-2,-0.9
2019,Nikola Jokic,C,5.5,2
2019,Damian Jones,C,-1.6,0.1
2019,Derrick Jones Jr.,SF,-0.3,1.1
2019,Tyus Jones,PG,0.4,0.2
2019,DeAndre Jordan,C,1.2,1.8
2019,Cory Joseph,PG,-2.1,0.1
2019,Frank Kaminsky,C,-0.1,-0.4
2019,Luke Kennard,SG,1.1,-1.4
2019,Maxi Kleber,PF,0.4,0
2019,Kevin Knox II,SF,-3.1,-1.1
2019,Furkan Korkmaz,SG,-0.4,-1
2019,Kyle Korver,SF,-0.6,0.7
2019,Kyle Kuzma,PF,-1.6,-1
2019,Jeremy Lamb,SG,-1.1,0.8
2019,Zach LaVine,SF,3.3,-0.8
2019,Damion Lee,SG,-1.5,-0.8
2019,Alex Len,C,-0.5,-0.3
2019,Kawhi Leonard,SF,6.5,2.4
2019,Meyers Leonard,C,-1.3,0.4
2019,Caris LeVert,SG,0.6,-0.9
2019,Damian Lillard,PG,8.3,-0.9
2019,Brook Lopez,C,-0.4,2.5
2019,Robin Lopez,C,-3,0.4
2019,Kevin Love,PF,2.6,-0.5
2019,Kyle Lowry,PG,2.2,1
2019,Timothe Luwawu-Cabarrot,SF,-1.8,-0.5
2019,Trey Lyles,PF,-0.5,-0.7
2019,Ian Mahinmi,C,-2.8,0
2019,Thon Maker,C,-2.1,0.7
2019,Lauri Markkanen,PF,0.2,-0.8
2019,Cody Martin,SF,-3.1,1
2019,Wesley Matthews,SG,-2.6,0.7
2019,Patrick McCaw,SF,-3.6,1.8
2019,CJ McCollum,SG,2.3,-1.8
2019,T.J. McConnell,PG,0.1,0.4
2019,Doug McDermott,PF,1.4,-1.3
2019,JaVale McGee,C,-0.6,2.1
2019,Rodney McGruder,SG,-3.7,0.8
2019,Ben McLemore,SF,0.1,-0.6
2019,Jordan McRae,SG,0,-1.5
2019,Nicolo Melli,C,-1.5,0.2
2019,De'Anthony Melton,PG,-2.2,2
2019,Khris Middleton,SF,3.4,0.7
2019,Patty Mills,PG,1.2,-1.2
2019,Paul Millsap,PF,0.3,-0.2
2019,Shake Milton,SG,0,-1
2019,Donovan Mitchell,SG,2.4,-0.6
2019,Malik Monk,SG,-1.1,-1.3
2019,E'Twaun Moore,SG,-1.9,-0.8
2019,Ja Morant,PG,1.4,-1.2
2019,Marcus Morris Sr.,SF-PF,0.6,-0.7
2019,Markieff Morris,PF,-1.1,-0.9
2019,Monte Morris,PG,0.4,-0.5
2019,Emmanuel Mudiay,PG,-1.8,-0.1
2019,Dejounte Murray,PG,-0.9,1.3
2019,Jamal Murray,PG,2,-0.8
2019,Svi Mykhailiuk,SF,-0.7,-1.2
2019,Abdel Nader,SF,-1.2,0.2
2019,Larry Nance Jr.,PF,1.4,0.4
2019,Shabazz Napier,PG,-0.7,-0.4
2019,Georges Niang,PF,0.4,-0.5
2019,Nerlens Noel,C,-0.3,3.4
2019,Frank Ntilikina,PG,-3.6,0.4
2019,Kendrick Nunn,PG,-1,-1.3
2019,Royce O'Neale,SF,-1.3,2.2
2019,Semi Ojeleye,PF,-2.1,0.4
2019,Elie Okobo,PG,-1.9,0
2019,Josh Okogie,SG,-2.4,0
2019,Kelly Olynyk,C,0,1
2019,Cedi Osman,SF,-1.7,-0.9
2019,Kelly Oubre Jr.,SF,-0.3,-0.3
2019,Jabari Parker,PF,0.6,-0.3
2019,Eric Paschall,PF,-0.7,-2
2019,Patrick Patterson,PF,0.8,-0.5
2019,Chris Paul,PG,3,1.4
2019,Elfrid Payton,PG,-0.4,0.4
2019,Mason Plumlee,C,0.3,1.7
2019,Jakob Poeltl,C,0.5,2
2019,Jordan Poole,SG,-4.4,-2.2
2019,Kevin Porter Jr.,SF,-3.2,-0.6
2019,Michael Porter Jr.,SF,2.4,-0.8
2019,Bobby Portis,PF,0,-1.1
2019,Kristaps Porzingis,C,1.8,0.1
2019,Dwight Powell,C,0.4,0.9
2019,Norman Powell,SG,1.2,0.8
2019,Taurean Prince,PF,-2.8,-0.1
2019,Julius Randle,PF,0.7,-1
2019,Cam Reddish,SF,-3.3,-1
2019,JJ Redick,SG,2.3,-1.7
2019,Josh Richardson,SG,-1.4,-0.4
2019,Austin Rivers,SG,-2.1,-0.4
2019,Duncan Robinson,SG,1.5,-1
2019,Glenn Robinson III,SF,-0.5,-1.2
2019,Jerome Robinson,SG,-3.8,-0.2
2019,Mitchell Robinson,C,1.6,1.4
2019,Rajon Rondo,PG,-1.2,-0.1
2019,Derrick Rose,PG,3.9,-1.7
2019,Terrence Ross,SG,-0.1,-0.3
2019,Terry Rozier,PG,0.8,-1.2
2019,Ricky Rubio,PG,0.7,0.2
2019,D'Angelo Russell,PG,3.8,-1.9
2019,Domantas Sabonis,PF,2,1.2
2019,Dario Saric,PF,-0.1,-0.3
2019,Tomas Satoransky,SG,-1.1,-0.2
2019,Dennis Schroder,PG,1.1,-1.1
2019,Mike Scott,PF,-0.7,-1.1
2019,Collin Sexton,PG,0.3,-2.1
2019,Landry Shamet,SG,-1.8,-0.3
2019,Pascal Siakam,PF,1.3,0.5
2019,Ben Simmons,PG,1.3,2.3
2019,Anfernee Simons,SG,-2.6,-1.9
2019,Marcus Smart,SG,0,1.4
2019,Ish Smith,PG,-0.3,-1
2019,Tony Snell,SF,-1.2,-0.6
2019,Omari Spellman,C,-0.8,-1
2019,Jayson Tatum,PF,3.5,0.6
2019,Jeff Teague,PG,-0.2,-1.3
2019,Garrett Temple,SG,-1.4,0.3
2019,Daniel Theis,C,0.6,1.8
2019,Isaiah Thomas,PG,-0.5,-3.9
2019,Tristan Thompson,PF,-0.2,-1.3
2019,Matisse Thybulle,SG,-2.8,3.1
2019,Anthony Tolliver,PF,-2.7,-0.5
2019,Karl-Anthony Towns,C,7,0.8
2019,Gary Trent Jr.,SF,0.5,-0.8
2019,P.J. Tucker,PF,-2.4,0.6
2019,Myles Turner,C,-1,1.1
2019,Jonas Valanciunas,C,2.1,0.2
2019,Fred VanVleet,SG,1.3,1.4
2019,Nikola Vucevic,C,3.7,0.5
2019,Moritz Wagner,C,-2,-0.3
2019,Kemba Walker,PG,4.9,-0.3
2019,Lonnie Walker IV,SG,-2.5,-1
2019,Brad Wanamaker,PG,-1.9,1.3
2019,T.J. Warren,SF,1.2,0
2019,P.J. Washington,PF,-1.7,0.1
2019,Russell Westbrook,PG,1.6,-0.1
2019,Coby White,PG,-1.3,-1.6
2019,Derrick White,SG,1.2,0.1
2019,Hassan Whiteside,C,2.5,0.7
2019,Andrew Wiggins,SF,1.1,-1.4
2019,Grant Williams,PF,-4.1,1.4
2019,Kenrich Williams,PF,-3.4,0.9
2019,Lou Williams,PG,2.1,-1.4
2019,Marvin Williams,PF,-1.6,1
2019,Christian Wood,PF,3.5,-0.3
2019,Delon Wright,PG,0,1.9
2019,Thaddeus Young,PF,-1.4,0.2
2019,Trae Young,PG,6.2,-2.3
2019,Cody Zeller,C,0.2,-0.8
2019,Ivica Zubac,C,1.9,0.9
2020,Precious Achiuwa,PF,-3.6,-0.5
2020,Steven Adams,C,-0.4,0.1
2020,Bam Adebayo,C,2.9,2
2020,Nickeil Alexander-Walker,SG,-1.4,0.1
2020,Grayson Allen,SG,-0.2,0.1
2020,Jarrett Allen,C,1.3,-0.2
2020,Kyle Anderson,PF,1.4,1.9
2020,Giannis Antetokounmpo,PF,6.2,2.8
2020,Carmelo Anthony,PF,0.2,-1.3
2020,Cole Anthony,PG,-1.9,-1.4
2020,OG Anunoby,SF,0.8,0.4
2020,Trevor Ariza,SF,-1.2,0.1
2020,D.J. Augustin,PG,-0.6,-1.5
2020,Deni Avdija,SF,-3.6,0.4
2020,Deandre Ayton,C,1.1,0.1
2020,Dwayne Bacon,SG,-3.7,-1.4
2020,Marvin Bagley III,PF,-0.4,-2.7
2020,LaMelo Ball,PG,1.1,0.7
2020,Lonzo Ball,PG,1.4,0.3
2020,Mo Bamba,C,0.2,0
2020,Desmond Bane,SG,-0.6,-0.2
2020,Harrison Barnes,PF,1.5,-1.3
2020,RJ Barrett,SG,-0.9,-0.3
2020,Will Barton,SF,-1,-0.8
2020,Nicolas Batum,SF,0.6,1.5
2020,Aron Baynes,C,-3.4,-1.1
2020,Kent Bazemore,SF,-2.9,1.7
2020,Darius Bazley,PF,-3.1,-1.3
2020,Bradley Beal,SG,4.8,-1.4
2020,Malik Beasley,SG,1.6,-1.8
2020,DeAndre' Bembry,SF,-3.2,1.4
2020,Davis Bertans,PF,0.3,-1.1
2020,Patrick Beverley,PG,-0.7,1.4
2020,Saddiq Bey,SF,0.3,-0.8
2020,Khem Birch,C,-1,0.1
2020,Bismack Biyombo,C,-3.4,0.4
2020,Eric Bledsoe,SG,-1.2,-0.9
2020,Bogdan Bogdanovic,SG,3.3,0.3
2020,Bojan Bogdanovic,SF,0.2,-0.7
2020,Devin Booker,SG,1.7,-1.4
2020,Chris Boucher,C,2.7,0.6
2020,Mikal Bridges,SF,2.4,0.9
2020,Miles Bridges,PF,0.2,0.1
2020,Malcolm Brogdon,PG,3,-0.9
2020,Dillon Brooks,SF,-2.6,-1.1
2020,Bruce Brown,PG,-0.4,0.2
2020,Jaylen Brown,SG,3.2,-0.7
2020,Moses Brown,C,-1.3,-1.2
2020,Sterling Brown,SG,-1.6,0
2020,Jalen Brunson,PG,1.5,-0.6
2020,Reggie Bullock,SF,-0.9,0.8
2020,Trey Burke,PG,-1.4,-0.4
2020,Alec Burks,SG,0.9,0.6
2020,Jimmy Butler,SF,5.4,2.3
2020,Kentavious Caldwell-Pope,SG,-1.6,1
2020,Facundo Campazzo,PG,-1.7,1.2
2020,Clint Capela,C,2.7,0
2020,Jevon Carter,PG,-0.4,0.9
2020,Wendell Carter Jr.,C,-1.1,-0.2
2020,Michael Carter-Williams,SG,-4.6,-0.2
2020,Alex Caruso,PG,-2.5,2.5
2020,Willie Cauley-Stein,C,-2.2,0.9
2020,Brandon Clarke,PF,0.4,1.2
2020,Jordan Clarkson,SG,1.8,-0.4
2020,John Collins,PF,2.5,-0.2
2020,Mike Conley,PG,3.6,1.3
2020,Pat Connaughton,SG,-0.5,0.5
2020,DeMarcus Cousins,C,-1.2,1.6
2020,Robert Covington,PF,-1.3,1.5
2020,Torrey Craig,SF,-0.3,0.7
2020,Jae Crowder,PF,0.3,0.8
2020,Seth Curry,SG,0.1,-0.4
2020,Stephen Curry,PG,8.3,0.4
2020,Anthony Davis,PF,2.6,2.2
2020,Terence Davis,SG,-0.9,-0.9
2020,DeMar DeRozan,PF,3.2,-0.1
2020,Hamidou Diallo,SG-SF,-2.2,0.1
2020,Donte DiVincenzo,SG,-0.2,0.4
2020,Luka Doncic,PG,6.1,0.7
2020,Luguentz Dort,SG,-2.6,-0.9
2020,Damyean Dotson,SG,-3.4,-1.4
2020,Sekou Doumbouya,PF,-5.4,-1.3
2020,PJ Dozier,SG,-2.3,-0.4
2020,Goran Dragic,PG,-1.1,-1.3
2020,Andre Drummond,C,-1.7,0.5
2020,Kevin Durant,PF,6.4,0.8
2020,Anthony Edwards,SG,-0.4,-1.7
2020,Wayne Ellington,SG,1.1,-1.3
2020,Joel Embiid,C,6.3,1.2
2020,James Ennis III,SF,-1.9,-0.3
2020,Drew Eubanks,C,-1,1
2020,Derrick Favors,C,0.3,2.4
2020,Dorian Finney-Smith,PF,0.2,0
2020,Malachi Flynn,PG,-2.5,-0.2
2020,Bryn Forbes,SG,0.4,-1.7
2020,Evan Fournier,SF-SG,1.5,-0.4
2020,De'Aaron Fox,PG,3.1,-1.3
2020,Enes Freedom,C,2.1,-1.4
2020,Daniel Gafford,PF-C,0.6,1.6
2020,Danilo Gallinari,PF,1.7,-0.6
2020,Darius Garland,PG,0,-2.1
2020,Marc Gasol,C,-1.4,3.7
2020,Rudy Gay,PF,-0.1,0
2020,Paul George,SF,3.9,0.3
2020,Taj Gibson,C,-0.7,2.1
2020,Shai Gilgeous-Alexander,SG,3.9,0.2
2020,Rudy Gobert,C,2.1,2.8
2020,Aaron Gordon,PF,0.2,-0.1
2020,Eric Gordon,SG,0.7,-1.7
2020,Devonte' Graham,PG,1.8,-1.1
2020,Jerami Grant,SF,1.9,-0.8
2020,Danny Green,SF,0.4,1.5
2020,Draymond Green,PF,-1.6,3.3
2020,JaMychal Green,PF,-0.5,-1
2020,Jeff Green,C,0,-0.9
2020,Blake Griffin,PF,-0.8,0
2020,Rui Hachimura,PF,-2.2,-1
2020,Tyrese Haliburton,PG,1.9,-0.5
2020,R.J. Hampton,SG-PG,-2.6,-1.2
2020,Tim Hardaway Jr.,SG,2,-1.7
2020,James Harden,PG-SG,6.2,1
2020,Maurice Harkless,PF-SF,-3.8,0.1
2020,Montrezl Harrell,C,2.3,0.7
2020,Gary Harris,SG,-2.8,-1.3
2020,Joe Harris,SF,1.5,-1.2
2020,Tobias Harris,PF,2.9,0.8
2020,Josh Hart,SF,-1.1,0.3
2020,Jaxson Hayes,C,0.6,0
2020,Gordon Hayward,SF,1.6,-0.1
2020,Juancho Hernangomez,PF,-1.1,-1.8
2020,Willy Hernangomez,C,1,-1
2020,Tyler Herro,SG,-0.3,-1
2020,Buddy Hield,SG,1,-1.6
2020,Solomon Hill,PF,-3,0.5
2020,Aaron Holiday,PG,-3.3,-0.9
2020,Jrue Holiday,PG,2.8,0.6
2020,Justin Holiday,SG,-0.9,-0.1
2020,Richaun Holmes,C,0.6,0
2020,Rodney Hood,SF,-4.9,-1.4
2020,Al Horford,C,2,1.4
2020,Talen Horton-Tucker,SG,-2.6,1.5
2020,Danuel House Jr.,SF,-2.8,-0.7
2020,Dwight Howard,C,-2.1,0.6
2020,Kevin Huerter,SG,-0.6,0.4
2020,Serge Ibaka,C,1.2,0.2
2020,Andre Iguodala,SF,-2.2,1.8
2020,Joe Ingles,SF,2.6,0.9
2020,Brandon Ingram,SF,3.3,-1.1
2020,Kyrie Irving,PG,5.7,-0.2
2020,Frank Jackson,PG,-0.1,-1.6
2020,Josh Jackson,SG,-2.5,-0.5
2020,Reggie Jackson,SG,0.6,-0.2
2020,LeBron James,PG,5.9,2.3
2020,Ty Jerome,SG,0.1,-0.8
2020,Cameron Johnson,PF,0,-0.2
2020,James Johnson,PF,-2.7,1.5
2020,Keldon Johnson,SF,-0.9,-0.7
2020,Stanley Johnson,PF,-3.8,1.2
2020,Nikola Jokic,C,9.1,3
2020,Derrick Jones Jr.,SF,-1.4,0
2020,Tyus Jones,PG,-0.1,0.9
2020,DeAndre Jordan,C,0.1,1
2020,Cory Joseph,PG,-1.8,0
2020,Frank Kaminsky,C,0.4,0.8
2020,Luke Kennard,SG,0.3,-0.5
2020,Maxi Kleber,PF,-0.5,0.5
2020,Furkan Korkmaz,SG,-0.3,0.2
2020,Kyle Kuzma,SF,-0.4,-0.1
2020,Jeremy Lamb,SG,0.7,0.7
2020,Zach LaVine,SG,4.9,-0.8
2020,Damion Lee,SG,-0.7,0.9
2020,Saben Lee,PG,-2.1,0.2
2020,Alex Len,C,-1.2,1
2020,Kawhi Leonard,SF,6,1.3
2020,Caris LeVert,SG,0.9,-0.5
2020,Kira Lewis Jr.,PG,-3.2,-0.2
2020,Damian Lillard,PG,7.5,-1.3
2020,Kevon Looney,C,-1.8,1
2020,Brook Lopez,C,0,0
2020,Robin Lopez,C,0.2,-1.2
2020,Kyle Lowry,PG,2,-0.4
2020,Timothe Luwawu-Cabarrot,SF,-3.2,-1.2
2020,Theo Maledon,PG,-4,-1
2020,Terance Mann,SG,-0.5,0.3
2020,Lauri Markkanen,PF,1,-0.9
2020,Naji Marshall,SF,-2.1,0.8
2020,Caleb Martin,SF,-3.6,0.2
2020,Cody Martin,SF,-2.7,0.7
2020,Kenyon Martin Jr.,SF,-1.4,-0.4
2020,Garrison Mathews,SG,-1.7,-0.1
2020,Wesley Matthews,SG,-3.1,1.4
2020,Tyrese Maxey,SG,-1,-0.5
2020,CJ McCollum,SG,5,-1.1
2020,T.J. McConnell,PG,-0.2,1.7
2020,Jaden McDaniels,PF,-3.3,-0.2
2020,Jalen McDaniels,SF,-2.8,-0.4
2020,Doug McDermott,PF,1.4,-2
2020,Jordan McLaughlin,PG,-2,0.2
2020,Ben McLemore,SG,-2.7,-1.2
2020,De'Anthony Melton,PG,0.6,1.7
2020,Khris Middleton,SF,1.7,-0.3
2020,Patty Mills,PG,0,-1.2
2020,Paul Millsap,PF,0.3,0.7
2020,Shake Milton,SG,-0.7,-1
2020,Donovan Mitchell,PG,4.6,-0.2
2020,Malik Monk,SG,0.2,-2
2020,Ja Morant,PG,1.3,-1.6
2020,Marcus Morris Sr.,PF,0.9,-0.8
2020,Markieff Morris,PF,-2.9,0.3
2020,Monte Morris,PG,0.1,-0.5
2020,Mychal Mulder,PG,-0.6,-1.2
2020,Dejounte Murray,PG,-0.2,1
2020,Jamal Murray,PG,2.7,-0.7
2020,Svi Mykhailiuk,SF-SG,-1.9,-0.7
2020,Larry Nance Jr.,PF,-1.4,1.8
2020,Raul Neto,PG,-1.4,0.9
2020,Georges Niang,PF,-0.4,0.1
2020,Nerlens Noel,C,-2.4,3.8
2020,Jaylen Nowell,SG,-1.5,-1.4
2020,Kendrick Nunn,PG,-0.1,-0.4
2020,Jusuf Nurkic,C,0.7,1.8
2020,Royce O'Neale,SF,-1.2,2.1
2020,Semi Ojeleye,PF,-1.7,-0.7
2020,Chuma Okeke,PF,-1.9,0.5
2020,Josh Okogie,SG,-3.7,0.3
2020,Isaac Okoro,SG,-4.2,-0.9
2020,Victor Oladipo,SG,-0.9,-0.8
2020,Kelly Olynyk,C-PF,0.3,0.9
2020,Cedi Osman,SF,-2.3,-0.9
2020,Kelly Oubre Jr.,SF,-1.4,-0.5
2020,Chris Paul,PG,3.5,1.1
2020,Cameron Payne,PG,2.1,1
2020,Elfrid Payton,PG,-2.9,-0.1
2020,Mason Plumlee,C,0.2,2
2020,Jakob Poeltl,C,-0.5,1.2
2020,Aleksej Pokusevski,PF,-5.1,-1
2020,Jordan Poole,SG,0.7,-1.2
2020,Kevin Porter Jr.,SG,-1.1,-2.4
2020,Michael Porter Jr.,SF,4,-0.9
2020,Bobby Portis,C,1.8,-0.4
2020,Kristaps Porzingis,C,3,-0.8
2020,Dwight Powell,C,-0.7,1.3
2020,Norman Powell,SG-SF,1.1,-0.7
2020,Taurean Prince,PF,-1.2,-0.6
2020,Payton Pritchard,SG,-0.3,-0.4
2020,Immanuel Quickley,PG,1.4,-0.5
2020,Chasson Randle,PG,-4.8,-1.1
2020,Julius Randle,PF,2.9,0.9
2020,Cam Reddish,SF,-3.3,0.1
2020,JJ Redick,SG,-1.4,-2.1
2020,Naz Reid,C,-0.1,-0.2
2020,Josh Richardson,SG,-1.5,-0.2
2020,Austin Rivers,SG,-2.2,0.3
2020,Duncan Robinson,SF,-0.2,-0.8
2020,Mitchell Robinson,C,-0.3,1.5
2020,Isaiah Roby,PF,-3.7,0.4
2020,Rajon Rondo,PG,-0.5,0.3
2020,Derrick Rose,PG,1.6,0.3
2020,Terrence Ross,SG,-1.4,-0.8
2020,Terry Rozier,SG,2.2,-0.5
2020,Ricky Rubio,PG,-1.9,0
2020,D'Angelo Russell,PG,3.3,-1.7
2020,Domantas Sabonis,PF,2.3,1.6
2020,Dario Saric,C,-1.4,-0.6
2020,Tomas Satoransky,SG,-0.6,0.1
2020,Dennis Schroder,SG,-1.3,0.1
2020,Mike Scott,PF,-3.2,0.3
2020,Collin Sexton,SG,1.8,-1.9
2020,Landry Shamet,SG,-1,-1.5
2020,Pascal Siakam,PF,1,-0.3
2020,Ben Simmons,PG,0.7,2.2
2020,Anfernee Simons,SG,0.6,-1.6
2020,Marcus Smart,PG,-0.4,0.2
2020,Ish Smith,PG,-2.1,0.5
2020,Tony Snell,SG,-0.4,-0.1
2020,Isaiah Stewart,C,-1.6,0.5
2020,Edmond Sumner,SG,-2.3,-0.5
2020,Jae'Sean Tate,SF,-1.6,0.3
2020,Jayson Tatum,SF,4.2,-0.3
2020,Jeff Teague,PG,-1.7,-0.5
2020,Garrett Temple,SG,-3.3,0.3
2020,Daniel Theis,C,-0.7,0.7
2020,Tristan Thompson,PF,-1.5,-1
2020,Matisse Thybulle,SG,-2.6,4.5
2020,Xavier Tillman Sr.,PF,-1.3,1.1
2020,Juan Toscano-Anderson,SG,-1.4,2.2
2020,Karl-Anthony Towns,C,4.3,0.2
2020,Gary Trent Jr.,SG,-0.5,-1.7
2020,P.J. Tucker,PF,-4.6,0.5
2020,Myles Turner,C,-1.6,2
2020,Jonas Valanciunas,C,3.2,-0.3
2020,Denzel Valentine,SG,-2.2,-0.4
2020,Jarred Vanderbilt,PF,-1.4,1.4
2020,Fred VanVleet,SG,2.2,0.2
2020,Devin Vassell,SF,-2.2,0.7
2020,Nikola Vucevic,C,4.9,0.4
2020,Dean Wade,PF,-1.1,-0.1
2020,Moritz Wagner,C,-2.7,0.2
2020,Kemba Walker,PG,2.8,-0.7
2020,Lonnie Walker IV,SG,-2.3,-1.4
2020,John Wall,PG,1.2,-1.9
2020,Brad Wanamaker,PG,-4.4,0.3
2020,P.J. Washington,PF,-1.5,0.6
2020,Yuta Watanabe,SF,-1.1,0.5
2020,Russell Westbrook,PG,2.6,1.1
2020,Coby White,PG,-1.2,-1.2
2020,Derrick White,SG,1.3,0
2020,Andrew Wiggins,PF,0,-0.4
2020,Grant Williams,PF,-4,0.3
2020,Kenrich Williams,PF,-1.2,0.5
