Player,Position,Draft Year,Draft Age,Class,School,Height,Weight,Wingspan,Standing Reach,RSCI Ranking,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,College OBPM,College DBPM,College BPM,Season3 OBPM,Season3 DBPM,Season3 BPM
Semaj Christon,PG,2014,21.65,SO,Xavier,73.5,186.0,78.5,99.0,36,0.53,0.485,1.2,8.3,4.867,27.6,2.467,0.667,16.0,27.866999999999997,533.3330000000001,2.9,1.5,4.4,-4.8,-0.3,-5.1
Frank Jackson,PG,2017,19.13,FR,Duke,74.0,201.6,79.5,98.0,14,0.598,0.564,3.1,8.3,5.8,12.6,1.3,0.2,12.9,21.1,371.0,3.7,1.4,5.1,-3.3,-2.2,-5.5
Nassir Little,SF,2019,19.35,FR,North Carolina,76.5,224.2,85.25,104.5,4,0.5489999999999999,0.504,9.2,16.8,13.0,6.4,1.5,3.3,13.0,25.2,323.0,2.9,2.2,5.1,-0.9,-0.6,-1.5
Kyle O'Quinn,PF,2012,22.26,SR,Norfolk State,80.5,240.8,88.75,106.5,161,0.616,0.58,11.933,27.3,19.567,9.732999999999999,1.2,9.633,15.9,24.3,528.3330000000001,3.2,1.2670000000000001,4.5,-1.7,1.5,-0.19999999999999996
Andre Drummond,C,2012,18.88,FR,Connecticut,81.75,278.6,90.25,109.5,187,0.509,0.5379999999999999,14.2,17.0,15.6,3.4,1.8,9.9,13.5,20.9,328.0,2.0,2.9,4.9,0.6,-0.7,-0.09999999999999998
Jaylen Nowell,SG,2019,19.95,SO,Washington,75.25,202.4,79.25,98.0,63,0.573,0.539,3.533,13.533,8.633,19.767,2.0669999999999997,0.833,16.567,25.8,555.3330000000001,2.733,1.2329999999999999,3.9330000000000003,1.5,-0.7,0.8
Jordan Clarkson,PG,2014,22.05,JR,Missouri,75.25,186.3,80.0,98.0,187,0.547,0.48200000000000004,2.9,9.3,6.4,23.3,1.9,0.6,14.3,27.9,605.0,3.8,0.5,4.3,-0.9,-1.6,-2.5
Jarell Martin,PF,2015,21.09,SO,Louisiana State,80.0,238.6,81.0,106.5,12,0.561,0.525,8.867,15.867,12.5,9.2,1.867,2.0669999999999997,15.4,23.267,456.667,2.733,1.433,4.2330000000000005,-3.3,-0.7,-4.0
Shabazz Muhammad,SF,2013,20.62,FR,UCLA,76.75,221.8,83.0,104.5,2,0.528,0.48700000000000004,9.9,9.3,9.6,5.8,1.3,0.4,8.6,29.8,520.0,5.8,-1.1,4.7,0.6,-3.1,-2.5
Tony Wroten,PG,2012,19.21,FR,Washington,76.75,203.2,81.0,101.0,16,0.488,0.45299999999999996,8.0,10.7,9.3,24.5,3.5,1.2,18.7,31.2,579.0,2.5,2.2,4.7,0.0,-1.2,-1.2
Talen Horton-Tucker,SG,2019,18.57,FR,Iowa State,74.5,235.4,85.25,103.0,67,0.488,0.47,2.9,16.7,10.2,16.2,2.8,2.7,12.4,26.2,403.0,1.7,2.5,4.2,-3.2,-0.2,-3.4000000000000004
Austin Rivers,SG,2012,19.91,FR,Duke,75.5,202.8,79.25,96.5,2,0.5379999999999999,0.505,2.2,10.0,6.0,13.0,1.7,0.1,13.9,25.2,488.0,3.2,0.8,4.0,-2.5,-0.3,-2.8
Jaylen Brown,SG,2016,19.66,FR,California,77.25,222.8,83.75,102.5,3,0.518,0.47100000000000003,4.4,16.6,10.8,15.3,1.7,2.2,17.9,31.4,476.0,1.1,2.5,3.6,-1.6,-0.4,-2.0
Luguentz Dort,PG,2019,20.17,FR,Arizona State,74.75,222.2,80.5,99.5,79,0.518,0.467,4.4,10.0,7.3,15.1,2.7,0.8,15.8,27.9,524.0,1.5,1.6,3.1,-1.5,-0.7,-2.2
Hamidou Diallo,SG,2018,19.89,FR,Kentucky,76.25,197.0,83.5,103.0,11,0.498,0.47,4.2,11.5,8.1,9.5,1.7,1.6,12.0,22.6,348.0,0.6,2.3,2.9,-2.2,0.1,-2.1
Zach LaVine,PG,2014,19.3,FR,UCLA,76.5,180.9,80.25,100.0,52,0.545,0.524,2.4,9.5,6.1,12.6,2.1,0.8,11.6,20.1,324.0,1.7,1.2,2.9,1.5,-1.4,0.10000000000000009
Naz Reid,PF,2019,19.82,FR,Louisiana State,80.25,255.8,87.25,109.0,15,0.544,0.507,10.5,19.2,14.9,6.2,1.5,2.8,16.6,26.4,440.0,2.3,0.5,2.8,-0.5,0.5,0.0
Archie Goodwin,SG,2013,18.86,FR,Kentucky,75.75,189.0,81.5,102.0,12,0.509,0.46399999999999997,5.6,11.2,8.5,16.8,2.1,1.4,18.1,27.2,467.0,1.0,1.1,2.1,-2.1,-1.5,-3.6
