Player,Class,Season,School,Conf,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,OWS,DWS,WS,OBPM,DBPM,BPM,Position,Height,Weight,Wingspan,Standing Reach,RSCI_Ranking,Draft_Age
Dewayne Dedmon,JR,2013,Southern California,Pac-12,0.524,0.5,11.7,26.6,18.9,5.8,2.9,10,19.8,18.5,213,0.6,1.6,2.2,0.2,5.2,5.4,C,82,238.8,88,109,151,23.87
Alex Kirk,JR,2014,New Mexico,MWC,0.54,0.509,9.171,21.971,15.871,6.2,0.814,7.786,12.471,22.371,358.714,1.729,2.014,3.686,1.686,2.557,4.229,PF,81.25,252,87.5,109.5,103,22.61
Fab Melo,SO,2012,Syracuse,Big East,0.576,0.58,10.9,14.3,12.7,4.8,1.433,11.6,20.7,15.833,182.667,1.033,1.2,2.233,-0.667,4.267,3.6,C,82.75,255,86.5,110,15,22.02
Quincy Miller,FR,2012,Baylor,Big 12,0.541,0.485,7.5,17.5,12.5,11.6,1.7,2.9,15.4,23.9,377,2.1,1.3,3.5,3.4,1.9,5.3,SF,80.75,218.7,85.25,105,5,19.61
Jarrett Allen,FR,2017,Texas,Big 12,0.571,0.566,10.9,18.9,14.9,5.7,1,5,17.8,22.6,428,1.5,1.7,3.3,2.6,2.6,5.2,C,81,233.6,89.25,109.5,18,19.17
Semaj Christon,SO,2014,Xavier,Big East,0.53,0.485,1.2,8.3,4.867,27.6,2.467,0.667,16,27.867,533.333,2.233,1.3,3.6,2.9,1.5,4.4,PG,73.5,186,78.5,99,36,21.65
Perry Jones,SO,2012,Baylor,Big 12,0.552,0.527,10.6,18.467,14.567,8.467,1.367,2.4,13.367,22.733,413.333,2.6,1.6,4.133,3.4,1.367,4.767,PF,82.25,233.8,85.75,107,7,20.76
Arnett Moultrie,JR,2012,Mississippi State,SEC,0.61,0.561,12.2,23.5,17.7,7,1.4,2.1,15.3,23.3,479,3.6,1.4,5,4.8,0.4,5.2,PF,81.5,232.8,86.25,106.5,199,21.61
Lonnie Walker,FR,2018,Miami (FL),ACC,0.527,0.503,1.7,9.2,5.5,13,2,1.8,9.6,22.4,344,1.6,1.3,2.8,2.9,2.3,5.2,SG,75.75,196.2,82.25,99.5,16,19.52
Frank Jackson,FR,2017,Duke,ACC,0.598,0.564,3.1,8.3,5.8,12.6,1.3,0.2,12.9,21.1,371,2.4,0.9,3.3,3.7,1.4,5.1,PG,74,201.6,79.5,98,14,19.13
Kevin Knox,FR,2018,Kentucky,SEC,0.556,0.51,3.3,14.5,9.3,8.7,1.5,1,14.1,24.6,518,2.3,1.7,4,3.3,1.8,5.1,SF,79.75,212.6,83.75,108,10,18.86
Nassir Little,FR,2019,North Carolina,ACC,0.549,0.504,9.2,16.8,13,6.4,1.5,3.3,13,25.2,323,1.4,1.2,2.7,2.9,2.2,5.1,SF,76.5,224.2,85.25,104.5,4,19.35
Kyle O'Quinn,SR,2012,Norfolk State,MEAC,0.616,0.58,11.933,27.3,19.567,9.733,1.2,9.633,15.9,24.3,528.333,3.6,2.233,5.833,3.2,1.267,4.5,PF,80.5,240.8,88.75,106.5,161,22.26
Christian Wood,SO,2015,Nevada-Las Vegas,MWC,0.55,0.506,9.367,21.4,15.733,7.833,0.9,7.733,13.433,24.2,375.333,1.967,1.833,3.8,2.333,2.133,4.467,PF,81.25,216,87.25,111.5,48,19.74
Marquese Chriss,FR,2016,Washington,Pac-12,0.585,0.561,9.8,11.6,10.7,6.3,1.9,5.8,14.7,24.1,427,1.9,1.2,3.1,2.8,2.2,4.9,PF,80.75,233,84.25,105,56,18.98
Andre Drummond,FR,2012,Connecticut,Big East,0.509,0.538,14.2,17,15.6,3.4,1.8,9.9,13.5,20.9,328,1.4,1.5,2.9,2,2.9,4.9,C,81.75,278.6,90.25,109.5,187,18.88
Jaylen Nowell,SO,2019,Washington,Pac-12,0.573,0.539,3.533,13.533,8.633,19.767,2.067,0.833,16.567,25.8,555.333,2.567,1.8,4.367,2.733,1.233,3.933,SG,75.25,202.4,79.25,98,63,19.95
Jordan Clarkson,JR,2014,Missouri,SEC,0.547,0.482,2.9,9.3,6.4,23.3,1.9,0.6,14.3,27.9,605,3.2,1.2,4.4,3.8,0.5,4.3,PG,75.25,186.3,80,98,187,22.05
Jordan Mickey,SO,2015,Louisiana State,SEC,0.544,0.515,9.5,19.067,14.467,7.167,1.367,9.467,17.9,23.3,438.333,1.333,2.4,3.8,1.367,3.367,4.733,PF,79,238,87.25,106,38,20.96
Jarell Martin,SO,2015,Louisiana State,SEC,0.561,0.525,8.867,15.867,12.5,9.2,1.867,2.067,15.4,23.267,456.667,2.233,2,4.2,2.733,1.433,4.233,PF,80,238.6,81,106.5,12,21.09
Shabazz Muhammad,FR,2013,UCLA,Pac-12,0.528,0.487,9.9,9.3,9.6,5.8,1.3,0.4,8.6,29.8,520,2.9,0.8,3.7,5.8,-1.1,4.7,SF,76.75,221.8,83,104.5,2,20.62
Tony Wroten,FR,2012,Washington,Pac-12,0.488,0.453,8,10.7,9.3,24.5,3.5,1.2,18.7,31.2,579,1.6,1.6,3.2,2.5,2.2,4.7,PG,76.75,203.2,81,101,16,19.21
Vander Blue,JR,2013,Marquette,Big East,0.513,0.469,4.171,11.229,7.7,14.757,2.257,0.4,17.043,23.129,374.429,1.571,1.186,2.843,1.957,1.571,3.586,SG,75.5,197.4,78,100.5,30,20.94
Joel Bolomboy,SR,2016,Weber State,Big Sky,0.604,0.558,13.727,28.433,21.653,6.373,1.22,4.12,16.44,23.64,460.133,2.92,2.187,5.107,2.307,0.007,2.313,PF,79.5,224.4,85.75,103.5,174,22.4
Talen Horton-Tucker,FR,2019,Iowa State,Big 12,0.488,0.47,2.9,16.7,10.2,16.2,2.8,2.7,12.4,26.2,403,1,1.7,2.7,1.7,2.5,4.2,SG,74.5,235.4,85.25,103,67,18.57
Maurice Harkless,FR,2012,St. John's (NY),Big East,0.504,0.472,8.4,20.3,14,9.6,2.6,4.2,14,24.9,476,1.8,1.3,3.2,3,1,4,SF,79.25,206.6,84,102.5,187,19.13
Austin Rivers,FR,2012,Duke,ACC,0.538,0.505,2.2,10,6,13,1.7,0.1,13.9,25.2,488,2.4,1,3.5,3.2,0.8,4,SG,75.5,202.8,79.25,96.5,2,19.91
Henry Ellenson,FR,2016,Marquette,Big East,0.534,0.48,7.8,24.2,16.5,11,1.4,4.4,12.9,26.7,536,2,2,4,2.8,1.1,3.9,PF,82,242,86.25,108,10,19.44
Troy Brown,FR,2018,Oregon,Pac-12,0.532,0.494,5.9,18,12,18.7,2.9,0.8,18.8,21,424,1.5,1.6,3.1,1.4,2.3,3.7,SF,77.75,208,82.25,105,12,18.9
Jaylen Brown,FR,2016,California,Pac-12,0.518,0.471,4.4,16.6,10.8,15.3,1.7,2.2,17.9,31.4,476,1,1.8,2.7,1.1,2.5,3.6,SG,77.25,222.8,83.75,102.5,3,19.66
Malachi Richardson,FR,2016,Syracuse,ACC,0.51,0.465,1.7,12.1,6.9,12.8,2,0.9,14,23.2,458,1.5,1.8,3.3,1.4,2.1,3.5,SG,76.75,199.6,84,101.5,29,20.47
Malcolm Lee,JR,2011,UCLA,Pac-10,0.553,0.497,2.6,7.8,5.3,12.9,1.2,0.6,12.5,20.8,398,2.4,1.1,3.6,2.1,1.2,3.3,SG,76,198.2,81.75,101.5,22,21.09
Luguentz Dort,FR,2019,Arizona State,Pac-12,0.518,0.467,4.4,10,7.3,15.1,2.7,0.8,15.8,27.9,524,1.5,1.6,3.1,1.5,1.6,3.1,PG,74.75,222.2,80.5,99.5,79,20.17
Hamidou Diallo,FR,2018,Kentucky,SEC,0.498,0.47,4.2,11.5,8.1,9.5,1.7,1.6,12,22.6,348,1.1,1.3,2.4,0.6,2.3,2.9,SG,76.25,197,83.5,103,11,19.89
Zach LaVine,FR,2014,UCLA,Pac-12,0.545,0.524,2.4,9.5,6.1,12.6,2.1,0.8,11.6,20.1,324,1.4,1.2,2.5,1.7,1.2,2.9,PG,76.5,180.9,80.25,100,52,19.3
Naz Reid,FR,2019,Louisiana State,SEC,0.544,0.507,10.5,19.2,14.9,6.2,1.5,2.8,16.6,26.4,440,1.7,1.3,3,2.3,0.5,2.8,PF,80.25,255.8,87.25,109,15,19.82
Skal Labissiere,FR,2016,Kentucky,SEC,0.54,0.516,7.3,14.7,11.1,3.6,0.9,10.3,13.1,22.2,214,0.9,1.1,2,-1.3,4,2.6,PF,82.5,215.8,86.5,105.5,2,20.27
Marquis Teague,FR,2012,Kentucky,SEC,0.491,0.449,1.6,7.1,4.5,25.6,1.7,0.8,21.1,20.2,457,1.7,1.8,3.5,0.8,1.4,2.3,PG,73,179.8,79.25,96.5,7,19.33
Archie Goodwin,FR,2013,Kentucky,SEC,0.509,0.464,5.6,11.2,8.5,16.8,2.1,1.4,18.1,27.2,467,1.6,1.5,3.1,1,1.1,2.1,SG,75.75,189,81.5,102,12,18.86
Adonis Thomas,SO,2013,Memphis,CUSA,0.482,0.439,6.1,12,9,12.4,1.3,2.4,11.7,22.9,409,1.7,1.5,3.2,1.4,0.6,2,SF,76.75,231.8,85,99,8,20.26
Kobi Simmons,FR,2017,Arizona,Pac-12,0.5,0.452,1.9,6.1,4.1,15.7,1.6,0.4,12.5,22,319,1.3,1.1,2.4,0.3,1.6,1.8,PG,75.25,166.2,78,99,24,19.97
Stephen Zimmerman,FR,2016,Nevada-Las Vegas,MWC,0.519,0.488,8.8,26.5,17.7,6.4,1.1,7.5,17.1,21.9,264,0.5,1.6,2.1,-0.9,2.3,1.4,C,82.25,234,87.25,108.5,9,19.79
Ike Anigbogu,FR,2017,UCLA,Pac-12,0.564,0.564,13.2,19.9,16.9,2.3,0.7,8.8,16.5,18.4,139,0.6,0.7,1.3,-1.5,2.4,0.9,C,80.5,252.2,90.25,110.5,53,18.67
Kevin Murphy,SR,2012,Tennessee Tech,OVC,0.553,0.519,2.933,16.3,9.533,15.233,1.6,0.7,15.733,31.6,570.333,2.4,1.1,3.567,2.067,-1.867,0.233,SG,77,194,78.75,99,161,22.31
