Player,Class,Season,School,Conf,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,OWS,DWS,WS,OBPM,DBPM,BPM,Position,Height,Weight,Wingspan,Standing Reach,RSCI_Ranking,Draft_Age
Cody Zeller,SO,2013,Indiana,Big Ten,0.638,0.584,11.967,19.733,16.033,9.5,2.367,4.367,13.8,25.767,555,4.9,2.267,7.133,7.533,3.7,11.3,C,82.75,230,82.75,106,12,20.73
Jarrett Culver,SO,2019,Texas Tech,Big 12,0.548,0.517,5.333,16.9,11.433,21.967,2.6,2.567,13.567,28.833,604.333,2.833,3.1,5.933,6.033,4.667,10.6,SG,77.25,194.2,81.5,100.5,250,20.33
Erik Murphy,SR,2013,Florida,SEC,0.628,0.611,7.4,17.886,12.614,8.8,1.357,3.714,13.614,21.543,332,2.829,1.8,4.629,5.657,3.429,9.086,PF,80.75,239.8,82.5,108,42,22.67
Jordan Adams,SO,2014,UCLA,Pac-12,0.593,0.533,5.8,12.8,9.333,13.567,4.733,0.767,9.033,25.667,545,3.867,2,5.867,6.667,4.1,10.767,SG,75.5,208.8,82,102,59,19.97
Gorgui Dieng,JR,2013,Louisville,Big East,0.567,0.544,12.629,21.729,17.1,10.086,2.329,10.3,17.7,16.7,331.143,2.1,3.014,5.057,3.643,6.257,9.9,C,81.75,229.6,87.5,111.5,49,23.44
Ty Jerome,JR,2019,Virginia,ACC,0.56,0.537,1.471,12.786,7.357,28.943,3.014,0.171,13.629,22.186,441.286,3.143,2.586,5.729,4.943,4.971,9.971,PG,76.25,194.4,76,98,47,21.95
Russ Smith,SR,2014,Louisville,AAC,0.55,0.501,3.314,9.5,6.343,27.2,4.343,0.3,14.771,31.957,639,3.571,2.814,6.329,5.929,4.486,10.414,PG,71.5,160,75.5,95,151,23.19
James Southerland,SR,2013,Syracuse,Big East,0.574,0.559,5.314,15.643,10.371,6.6,2.929,4.529,7.486,20.429,296.143,2.471,1.786,4.257,6.143,4.229,10.429,SF,79,220.6,85,106,199,23.16
Jeff Withey,SR,2013,Kansas,Big 12,0.619,0.567,9.267,21.5,15.8,6,1.433,14.233,15.033,20.2,426.667,3.167,3,6.2,4.633,6.867,11.5,C,82.75,221.8,86,110.5,29,23.31
Jordan Hamilton,SO,2011,Texas,Big 12,0.55,0.522,7,18.5,12.9,14.6,1.6,1.8,11.2,29.1,612,4,2.7,6.7,8.3,3.1,11.4,SF,78.75,228.4,81.5,104,30,20.71
Malcolm Brogdon,SR,2016,Virginia,ACC,0.564,0.506,2.313,13.753,8.207,18.267,1.793,1.013,10.293,26.593,525.333,3.853,2.3,6.14,6.087,3.613,9.687,SG,75.75,223,82.5,98,80,23.53
Sam Dekker,JR,2015,Wisconsin,Big Ten,0.59,0.568,7.786,15.2,11.557,9.786,1.357,1.657,8.343,22.986,471.571,4.129,1.829,5.957,7.543,2.271,9.871,SF,79.75,218.6,83.5,106,17,21.14
Keita Bates-Diop,JR,2018,Ohio State,Big Ten,0.571,0.538,5.414,21.414,13.8,9.414,1.6,5.557,10.214,25.071,465.286,2.714,2.043,4.771,5.957,3.257,9.186,SG,79.25,223.8,87.25,106.5,25,22.41
Reggie Bullock,JR,2013,North Carolina,ACC,0.602,0.588,6.7,16.267,11.167,14,1.933,0.867,10.333,17.633,410.333,3.433,1.6,5.067,6.867,2.933,9.867,SG,77.75,199.8,80.75,102,14,22.28
Donovan Mitchell,SO,2017,Louisville,ACC,0.532,0.495,4.667,13.1,8.9,15.933,3.3,1.333,10.833,23.367,412.333,2.467,2.033,4.533,4.7,5.133,9.767,SG,73.25,211.4,82,97,32,20.79
Trae Young,FR,2018,Oklahoma,Big 12,0.585,0.518,1.3,10,5.8,48.6,2.5,0.7,18.2,37.1,935,4.6,1.1,5.7,9.7,1.3,11.1,PG,72.5,177.8,75,95.5,21,19.75
Kyle Anderson,SO,2014,UCLA,Pac-12,0.539,0.488,5.667,25.333,15.733,29.8,3.2,2.733,18.5,22.733,531.333,2.567,2.467,4.967,5.2,4.433,9.7,SF,79.5,230.1,86.75,107.5,3,20.76
Mohamed Bamba,FR,2018,Texas,Big 12,0.593,0.567,12.2,28.2,20.2,3.6,1.5,13.1,12.3,21.3,377,2.4,2.4,4.8,5,5.9,10.9,C,83.25,225.6,94,115.5,4,20.11
Doug McDermott,SR,2014,Creighton,Big East,0.654,0.614,7.253,19.78,14.013,11.16,0.413,0.387,10.28,34.44,733.333,6.007,1.413,7.413,10.567,-0.473,10.093,SF,78.25,218,81.25,103,151,22.48
Marcus Morris,JR,2011,Kansas,Big 12,0.625,0.601,11.5,19,15.5,11.4,1.7,2.4,11.4,26.9,600,4.9,2.3,7.2,8,2.9,10.9,PF,79,229.6,82,105.5,46,21.8
Jordan Bell,JR,2017,Oregon,Pac-12,0.624,0.616,10.771,21.5,16.386,11.086,2.6,8.957,19.686,17.1,345,2.243,2.371,4.614,3.7,5.471,9.186,PF,79,223.6,83.75,104.5,119,22.46
De'Andre Hunter,SO,2019,Virginia,ACC,0.607,0.565,6.233,13.933,10.3,12.6,1.433,2.5,10.233,24.633,457.333,3.867,2.3,6.1,6.733,3.733,10.467,SF,79,225,86,105,80,21.55
Dion Waiters,SO,2012,Syracuse,Big East,0.551,0.517,2.467,8.5,5.533,19.9,4.467,1.267,11.067,25.267,357,2.533,1.467,4.067,4.567,4.6,9.167,SG,74.5,221,79.25,98,23,20.55
T.J. Warren,SO,2014,NC State,ACC,0.595,0.58,10.4,11.4,10.933,7.7,2.933,1.7,9.7,30.167,643.333,4.267,1.4,5.7,8.167,1.667,9.833,SF,79,220.2,82.25,104,26,20.8
Nick Johnson,JR,2014,Arizona,Pac-12,0.542,0.495,2.514,11.757,7.214,18.529,2.486,1.971,12.7,23.786,487.857,2.914,2.543,5.471,4.329,4.514,8.829,SG,73.5,198,79.25,96.5,24,21.51
Tyler Zeller,SR,2012,North Carolina,ACC,0.611,0.552,13,19.667,16.3,5.667,1.6,4.933,11.533,24.2,562.333,4.433,2.367,6.767,6.567,3.8,10.367,PF,83.25,247.4,84,104.5,19,22.44
Ron Baker,SR,2016,Wichita State,MVC,0.569,0.524,2.429,14.8,8.4,20.243,2.786,2.586,10.443,22.957,468.571,3.314,2.857,6.157,5.957,4.471,10.414,SG,75.25,212.4,81.75,97.5,174,23.23
Zach Collins,FR,2017,Gonzaga,WCC,0.703,0.676,12.1,23.3,18.4,4.4,1.5,9.8,17.8,24.8,359,2.6,2.4,5,4.6,6,10.6,PF,82.25,232.2,85,111,36,19.59
JaJuan Johnson,SR,2011,Purdue,Big Ten,0.564,0.509,7.9,20.2,14.1,6.4,1.5,6.7,8.3,29.1,617,4.3,2.9,7.2,7,3.5,10.5,PF,81,219.8,86,107.5,171,22.37
Ben McLemore,FR,2013,Kansas,Big 12,0.633,0.586,5,13.2,9.4,12.6,1.8,2.2,14.2,23.2,530,4.2,2.3,6.5,7.2,3.4,10.5,SG,75.5,189.2,79.75,100.5,41,20.37
Jordan McRae,SR,2014,Tennessee,SEC,0.55,0.5,2.829,11.143,6.929,16.457,1.414,3.171,13.157,28.629,531.857,3.314,1.657,4.914,6.029,2.014,7.986,SG,75.75,179.4,84.5,104,39,23.25
Monte Morris,SR,2017,Iowa State,Big 12,0.562,0.53,3.08,10.053,6.713,29.787,2.567,0.833,9.213,20.093,576.6,4.26,1.593,5.893,6.253,3.02,9.26,PG,73.25,175.2,76,96.5,96,21.99
Chinanu Onuaku,SO,2016,Louisville,ACC,0.612,0.619,13.233,22.633,17.967,10.5,2.1,8.833,25.033,17.267,251.333,1.3,2.1,3.467,2.467,6.1,8.633,C,81,245.2,86.75,108.5,63,19.64
Chris Boucher,SR,2017,Oregon,Pac-12,0.604,0.596,10.133,20.2,15.433,3.3,1.267,11.8,9.767,22.6,356,2.467,1.933,4.4,4.767,4,8.8,PF,80,182.2,88,110.5,261,24.44
Jakob Poeltl,SO,2016,Utah,Pac-12,0.653,0.658,13.267,21.4,17.667,11.467,1.067,6.2,15.2,24.133,499,3.967,1.967,5.933,6.233,3.267,9.5,C,84.25,239,86.75,111.5,253,20.69
Mike Scott,SR,2012,Virginia,ACC,0.62,0.571,9.7,26.2,18,10.7,1.4,1.8,12.6,30.9,522,4.2,2.6,6.8,7.7,2.6,10.4,PF,79.25,240.8,82.75,104,130,23.95
Miles Bridges,SO,2018,Michigan State,Big Ten,0.575,0.544,5.367,19.833,13.333,16.1,1.2,3.3,12.367,27.167,493,2.8,2.033,4.867,6.367,2.867,9.233,SF,77.25,220.4,81.5,103.5,12,20.25
Marshon Brooks,SR,2011,Providence,Big East,0.584,0.542,6.3,14.2,10.2,16,2.3,3,12.7,30.6,720,4.8,1.2,5.9,8.8,1.5,10.3,SG,76.25,194.6,85,101,171,22.4
Gary Harris,SO,2014,Michigan State,Big Ten,0.569,0.53,3.9,9.067,6.633,14.467,3.2,1.3,10.867,25.233,489.667,3.167,1.867,5.033,6.2,3.6,9.767,SG,74.5,204.8,78.75,96,18,19.78
Luke Kennard,SO,2017,Duke,ACC,0.605,0.554,3.967,11.633,7.933,12.667,1.633,0.8,8.467,23.1,581.667,4.633,1.367,6,7.033,1.833,8.8,SG,76.5,196.2,77.25,98.5,21,20.99
Markieff Morris,JR,2011,Kansas,Big 12,0.642,0.627,13.9,24.7,19.7,11,1.9,4.9,16.2,25.5,485,3.6,2.4,6,6.7,3.6,10.3,PF,79.75,240.8,82.75,106.5,52,21.8
Tyler Ulis,SO,2016,Kentucky,SEC,0.562,0.5,1.9,6.833,4.533,31.933,2.4,0.267,13.167,20.033,527.667,4.3,1.833,6.133,6.633,3.333,9.967,PG,68.75,149.2,74,88.5,18,20.47
Dylan Windler,SR,2019,Belmont,OVC,0.667,0.643,6.747,24.6,16.26,13.107,2.033,2.307,13.5,22.48,532.2,4.02,2.1,6.113,6.46,1.753,8.187,SF,78.25,195.8,82,104.5,354,22.74
Jalen Brunson,JR,2018,Villanova,Big East,0.633,0.595,1.629,8.686,5.329,25.386,1.7,0.057,13.1,24.8,634.857,5.014,1.671,6.657,6.686,2.171,8.857,PG,73,198.4,76,96,19,21.8
Norris Cole,SR,2011,Cleveland State,Horizon,0.558,0.483,2.5,16.5,9.5,37,3.7,0.3,12.2,32.1,788,5.6,2.7,8.3,6.7,3.5,10.2,PG,72.25,174.4,74.25,95.5,171,22.69
Kris Dunn,JR,2016,Providence,Big East,0.543,0.502,3.3,15.233,9.167,44.533,4.5,1.633,20.067,28.067,574.667,2.3,2.3,4.6,4.733,5.367,10.133,PG,75,205,81.5,100,19,22.27
Terrence Jones,SO,2012,Kentucky,SEC,0.535,0.505,10.133,19.033,14.8,9.233,2.533,5.867,12.2,24.333,504,3.1,2.733,5.833,4.867,4.567,9.5,PF,80.25,252,86.25,107,10,20.47
E'Twaun Moore,SR,2011,Purdue,Big Ten,0.545,0.518,5.1,12.5,8.8,20.9,2.2,1.6,9.8,28,573,3.7,2.2,5.9,7.1,3.1,10.2,SG,74.5,191.4,81.5,99.5,24,22.31
Kenrich Williams,SR,2018,TCU,Big 12,0.564,0.545,10.6,21.129,15.929,16.2,2.657,1.914,13.271,17.957,435.857,2.971,1.8,4.771,5.629,3.386,9.014,SF,78,200.4,79.25,103.5,253,23.55
Dorian Finney-Smith,SR,2016,Florida,SEC,0.555,0.524,9.471,18.486,13.871,13.743,1.814,2.786,13.5,23.6,444,2.514,2.071,4.586,5.9,3.286,9.1,SF,78.5,212.6,83.75,105.5,23,23.14
Jaxson Hayes,FR,2019,Texas,Big 12,0.739,0.728,8.7,16.3,12.5,2.6,1.5,10.6,11.8,17.2,280,2.8,1.5,4.3,4.6,5.5,10.1,PF,82.25,218.6,87.5,110.5,126,19.07
Ja Morant,SO,2019,Murray State,OVC,0.598,0.537,4.7,13.633,9.467,45.567,2.333,1.967,19.733,29,776.333,5.033,2.233,7.3,6.833,1.567,8.4,PG,74.5,175,78,99,250,19.86
Justise Winslow,FR,2015,Duke,ACC,0.572,0.551,5.4,19.8,13.1,13.2,2.8,2.9,14.2,22.9,473,3.1,2.5,5.5,5.3,4.6,10,SF,76.5,221.8,82.25,104.5,14,19.25
Grayson Allen,SR,2018,Duke,ACC,0.582,0.529,2.18,9.433,5.987,20.147,2.3,0.3,13.3,22.86,546.133,3.793,1.58,5.327,5.307,2.467,7.787,SG,75,198,79.25,97,24,22.7
John Collins,SO,2017,Wake Forest,ACC,0.635,0.597,15.167,22.633,18.967,4.167,1.233,6.067,12.033,27.9,456,3.433,0.8,4.233,6.733,0.767,7.433,PF,80.25,225.2,83.25,106.5,134,19.75
Kevin Jones,SR,2012,West Virginia,Big East,0.549,0.523,11.867,20.567,15.8,7.633,1.067,2.5,7.033,23.233,531.333,4.567,1.633,6.133,7.7,0.833,8.433,PF,78.25,251.2,85.5,105,50,22.84
Cameron Payne,SO,2015,Murray State,OVC,0.557,0.516,1.833,10.833,6.5,38.067,3.4,1.633,13.867,30.8,677,4.5,1.7,6.2,6.633,0.933,7.567,PG,72.75,182.8,79.25,97.5,261,20.88
Nolan Smith,SR,2011,Duke,ACC,0.564,0.508,4.1,10.1,7.2,30.3,2,0.2,14.8,30.7,779,5.1,2.3,7.4,7.5,2.3,9.9,PG,73.5,187.6,77.5,99,19,22.91
Will Barton,SO,2012,Memphis,CUSA,0.559,0.526,6.867,17.767,12.567,18.1,2.567,1.933,13.933,25.133,553.667,3.5,2.3,5.8,5.1,2.467,7.633,SG,77,174.4,81.75,102.5,9,21.48
Seth Curry,SR,2013,Duke,ACC,0.601,0.556,2.371,7.143,4.771,12.1,2.086,0.529,10.329,22.786,472.714,3.771,1.214,4.986,6.586,2.286,8.886,SG,73,179.2,76,97.5,199,22.84
Jon Leuer,SR,2011,Wisconsin,Big Ten,0.568,0.526,6.3,22.6,14.1,12.8,1,3.1,9,31.1,558,4.6,1.7,6.3,7.9,1.8,9.8,PF,82,223.2,84,105.5,89,22.11
Damian Lillard,JR,2012,Weber State,Big Sky,0.635,0.562,1.9,15.8,9,27.1,2.5,0.7,10.7,33,746,6.7,1.4,8,9.1,0.7,9.8,PG,73.75,188.8,79.75,95.5,199,21.95
Klay Thompson,JR,2011,Washington State,Pac-10,0.574,0.525,2.6,14,8.6,25,2.8,3.1,15.3,32.8,694,3.7,2.2,5.8,6.8,3,9.8,SG,77.75,205.6,81,103.5,61,21.37
Cameron Bairstow,SR,2014,New Mexico,MWC,0.577,0.519,9.973,16.78,13.54,9.453,1.293,4.173,12.813,25.033,449,3.087,1.68,4.767,3.947,2.367,6.3,PF,80.75,252.4,84.75,107,151,23.55
Justin Harper,SR,2011,Richmond,A-10,0.642,0.618,6.5,18.6,12.8,8.9,1.2,4,9.8,26.8,561,4.8,2.3,7.1,8.2,1.5,9.7,PF,80,228,83.75,106,171,21.81
Bernard James,SR,2012,Florida State,ACC,0.61,0.623,13,20.4,16.833,3.233,1.833,10.833,18.467,19.767,327,1.833,2.233,4.067,3.633,4.667,8.3,PF,80.75,229.8,87,108.5,161,27.39
Branden Dawson,SR,2015,Michigan State,Big Ten,0.541,0.54,11.529,20.243,16,11.271,2.857,5.371,16.314,22.214,359.714,1.714,2.286,3.943,4.2,4.443,8.657,PF,77.5,230.2,83,105,20,22.39
Charles Jenkins,SR,2011,Hofstra,CAA,0.635,0.585,1.8,8.8,5.3,31.5,2.9,1.9,11.1,28.7,706,6.4,0.9,7.3,8.4,1.2,9.6,PG,73.5,216.4,79.5,96.5,171,22.31
Alec Peters,SR,2017,Valparaiso,Horizon,0.615,0.561,8.173,20.94,14.827,12.3,1.34,1.113,11.173,27.8,587.4,4.36,2.14,6.493,7.173,0.853,8.04,PF,79.25,232,82.75,105,261,22.19
Iman Shumpert,JR,2011,Georgia Tech,ACC,0.517,0.454,5.7,16.4,10.6,25.7,5,0.7,12.2,29.1,528,2.8,2.1,4.9,5.4,4.2,9.6,PG,76.25,221.8,81.5,99.5,24,20.99
Nate Wolters,SR,2013,South Dakota State,Summit,0.578,0.521,3.486,15.171,9.186,35.357,2.757,0.386,10.843,30.371,736.286,6.329,1.514,7.757,7.371,0.971,8.357,PG,75.5,196.4,75.75,98,199,22.12
Montrezl Harrell,JR,2015,Louisville,ACC,0.587,0.588,10.8,18.757,14.743,7.957,1.757,4.186,11.943,21.471,467.143,3.186,2.843,6.043,5.5,3.471,8.971,PF,79,253.4,88.25,109,83,21.41
Mason Plumlee,SR,2013,Duke,ACC,0.602,0.59,10.657,25.257,17.986,11.357,1.729,4.586,18.543,22.257,502.143,3.3,2.386,5.686,4.957,3.714,8.671,C,83.25,238.2,83,108,18,23.31
Jarnell Stokes,JR,2014,Tennessee,SEC,0.566,0.53,15.967,23.533,19.7,12.767,1.433,3.3,14.267,24.6,524.333,3.7,2.3,6,6.467,2.033,8.5,PF,79,262.8,85.25,103.5,187,20.47
Devin Booker,FR,2015,Kentucky,SEC,0.6,0.571,2.6,7.8,5.4,10.9,1.3,0.3,10.4,22.8,324,2.7,1.8,4.5,6.1,3.3,9.4,SG,76.5,205.8,80.25,102.5,20,18.65
Jimmy Butler,SR,2011,Marquette,Big East,0.587,0.516,8.2,12,10.1,13.2,2.4,1.1,9.8,21.3,569,4.8,1.5,6.3,7.2,2.2,9.4,SF,78,222.2,79.5,101.5,171,21.77
Michael Carter-Williams,SO,2013,Syracuse,Big East,0.491,0.438,4,12.7,8.2,40.1,4.7,1.8,22.2,22.2,580,2.7,3.5,6.1,4,5.5,9.4,PG,76.75,184.4,79.25,101,28,21.71
Damyean Dotson,SR,2017,Houston,AAC,0.616,0.597,5.767,17.8,11.733,7.167,1.5,0.633,7.367,22.033,457,3.8,1.767,5.6,7.8,0.933,8.633,SG,76.5,205.2,81,100,261,23.13
Markelle Fultz,FR,2017,Washington,Pac-12,0.558,0.535,4,13.9,8.9,35.5,2.5,3.1,13.4,31.4,582,3.3,0.6,3.9,7.7,1.7,9.4,PG,75,185,81,101,4,19.07
Rondae Hollis-Jefferson,SO,2015,Arizona,Pac-12,0.563,0.507,9.467,18.633,14.233,10.4,2.2,3.7,13.167,20.3,409,2.833,2.8,5.567,4,5.133,9.167,SF,77.5,210.8,86,104,14,20.47
Stanley Johnson,FR,2015,Arizona,Pac-12,0.551,0.501,8.9,19.1,14.1,11.6,3.2,1.6,14.7,26.6,509,2.8,2.9,5.7,5,4.4,9.4,SF,77,241.8,83.5,102,4,19.07
Tony Mitchell,SO,2013,North Texas,Sun Belt,0.53,0.487,8.4,23.1,15.4,5.7,1.8,8.5,16.6,22.7,395,1.6,1.8,3.3,1,1.2,2.2,PF,79.5,236.4,86.5,106.5,18,23.89
Tony Mitchell,SO,2013,North Texas,Sun Belt,0.53,0.487,8.4,23.1,15.4,5.7,1.8,8.5,16.6,22.7,395,1.6,1.8,3.3,1,1.2,2.2,PF,79.5,236.4,86.5,106.5,18,21.22
Andrew Nicholson,SR,2012,St. Bonaventure,A-10,0.63,0.593,9.533,23.067,16.4,9.167,1.2,6.367,15.1,30.2,529.333,3.8,1.567,5.433,6.133,1.567,7.767,PF,80.5,234,88,107,161,22.55
Terry Rozier,SO,2015,Louisville,ACC,0.507,0.464,4,13.833,8.867,18.667,3.4,0.433,10.367,24.967,481.333,2.533,2.633,5.167,4.233,4.5,8.7,PG,72.5,190.2,80.25,98.5,18,21.27
Caleb Swanigan,SO,2017,Purdue,Big Ten,0.591,0.547,9.633,30.9,21.033,17,0.8,1.967,19.533,26.733,540.333,2.7,2.367,5.133,4.1,3.067,7.1,PF,79.5,245.6,87,108,18,20.18
Nikola Vucevic,JR,2011,Southern California,Pac-10,0.578,0.539,9.8,25.6,17.7,11,0.9,4.4,10.3,25.5,558,4.2,2.4,6.6,6.7,2.8,9.4,PF,82.25,259.8,88.5,112.5,161,20.66
Tyus Jones,FR,2015,Duke,ACC,0.575,0.489,1.8,9.9,6.1,27.5,2.7,0.2,15.9,18.7,532,4.4,2.1,6.5,6,3.3,9.3,PG,72.5,184.6,77,97,6,19.12
Semi Ojeleye,JR,2017,Southern Methodist,AAC,0.621,0.572,8.4,15,11.9,9.3,0.8,1.6,8.5,25.9,595,5.5,2.2,7.7,8.3,1.1,9.3,SF,77.25,241.4,81.75,102,32,22.55
Nik Stauskas,SO,2014,Michigan,Big Ten,0.639,0.59,1.767,9.333,5.567,15.067,1.067,0.867,11.833,22.033,522.667,4.467,1.1,5.633,7.5,1.2,8.7,SG,77.25,206.9,79.75,102,77,20.72
Myles Turner,FR,2015,Texas,Big 12,0.556,0.488,7.2,24.9,16.7,6.2,0.8,12.3,13.2,25.1,310,1.9,2.1,4,3.4,6,9.3,C,81.75,238.6,88,112,5,19.25
Jawun Evans,SO,2017,Oklahoma State,Big 12,0.535,0.475,2.8,11,6.8,43.6,3.3,0.5,13.6,32.7,659,4,0.8,4.8,8,1.2,9.2,PG,70.75,185.2,77.5,95,26,20.91
JaMychal Green,SR,2012,Alabama,SEC,0.578,0.536,11.467,19.767,15.667,14,2.133,6.733,17.9,28.4,402,2.267,2.1,4.367,4.567,4.233,8.8,PF,80,217.4,86.25,106.5,18,22.02
Kawhi Leonard,SO,2011,San Diego State,MWC,0.512,0.471,11.4,26.2,19,16,2.7,1.9,12.3,27.6,567,3.6,3.2,6.8,5.3,3.9,9.2,SF,78,227.4,87,106,54,19.98
Moritz Wagner,JR,2018,Michigan,Big Ten,0.629,0.616,7.229,20.4,13.9,5.6,2.171,1.971,12.671,24.543,412.429,2.657,1.9,4.586,4.214,2.914,7.129,C,82.5,241.4,84,108,113,21.15
Dillon Brooks,JR,2017,Oregon,Pac-12,0.573,0.537,5.886,10.614,8.357,20.4,2.086,1.8,13.629,28.686,540.714,3.114,1.529,4.671,5.386,2.114,7.471,SG,77,220.2,78,100.5,253,21.42
Joe Harris,SR,2014,Virginia,ACC,0.574,0.549,3.227,11.413,7.347,16.367,1.993,1.26,11.86,24.107,418.267,2.74,2.227,4.967,4.867,3.347,8.213,SG,76.75,215,78,100,127,22.8
Shane Larkin,SO,2013,Miami (FL),ACC,0.568,0.525,1.933,10.833,6.333,23.8,3.5,0.3,17.367,20.533,443,3.167,1.9,5,3.6,3.5,7.133,PG,70.25,170.8,70.75,89.5,95,20.73
Larry Nance,SR,2015,Wyoming,MWC,0.587,0.539,6.42,22.287,14.867,15.58,2.48,4.82,13.753,25.487,408.267,2.513,2.367,4.893,3.56,3.347,6.933,PF,79.5,226.6,85.5,108,187,22.48
Andre Roberson,JR,2013,Colorado,Pac-12,0.548,0.537,11.829,29.557,20.786,8.857,3.471,5.171,17.414,19.557,361.286,1.871,2.771,4.614,3.743,4.286,8.057,PF,78.25,205.8,83,104.5,151,21.56
Donte DiVincenzo,SO,2018,Villanova,Big East,0.599,0.579,5.1,13.533,9.533,17.333,2.067,0.9,15.367,21.267,478.333,3.1,1.767,4.867,5.267,3.033,8.3,SG,75.5,200.6,78,97.5,256,21.39
Cleanthony Early,SR,2014,Wichita State,MVC,0.606,0.551,7.433,17.867,12.767,6.1,1.8,3.667,12.333,28.7,500,3.6,2.233,5.833,6.1,2.267,8.367,SF,78,209.4,82.75,101.5,151,23.19
Shai Gilgeous-Alexander,FR,2018,Kentucky,SEC,0.578,0.516,3.2,10,6.8,28.8,2.8,1.7,17.9,21.9,571,3.3,1.9,5.2,5.3,3.7,9,PG,76.5,180,83.5,104,33,19.94
Jerian Grant,SR,2015,Notre Dame,ACC,0.563,0.509,1.343,8.471,5.071,32.214,2.557,1.043,14.814,23.571,609,4.643,1.443,6.114,5.6,1.614,7.214,PG,75.25,198,79.5,100,111,22.71
John Henson,JR,2012,North Carolina,ACC,0.504,0.5,10.233,26.5,18.333,7.267,1.133,10.267,10.8,23.267,431.667,1.967,2.7,4.667,3.633,5.1,8.733,PF,81,216,89,112,4,21.5
Chris Singleton,JR,2011,Florida State,ACC,0.531,0.495,8.2,17,12.8,8.9,3.9,5.9,15,24.5,344,1.5,2.4,3.9,3.3,5.6,9,SF,79.75,230.2,85,103.5,15,21.59
Nickeil Alexander-Walker,SO,2019,Virginia Tech,ACC,0.582,0.549,2.4,13.333,8.1,19.933,2.9,2.367,16.233,25,470.667,2.5,2.067,4.467,4.267,3.367,7.567,SG,76.25,203.8,81.5,102,34,20.8
Ignas Brazdeikis,FR,2019,Michigan,Big Ten,0.573,0.531,4.6,16.1,10.5,6.1,1.5,1.7,8.8,26.1,486,2.8,2.7,5.5,5.3,3.7,8.9,SF,77.75,220.8,81.25,102,108,20.45
Markel Brown,SR,2014,Oklahoma State,Big 12,0.563,0.514,3.04,13.407,8.327,16.453,1.78,2.947,11.947,22.787,487,2.913,1.847,4.74,4.847,2.607,7.44,SG,74.5,184.4,80.75,100,142,22.41
Treveon Graham,SR,2015,Virginia Commonwealth,A-10,0.544,0.504,8.193,19.56,13.433,12.807,1.553,0.967,8.933,27.207,490.867,3.187,1.693,4.96,7.113,1,8.16,SF,76,219.4,82.5,103,187,21.66
Tyler Herro,FR,2019,Kentucky,SEC,0.58,0.536,1.6,13.9,8.2,15,2,1.1,11.8,21.4,479,3.3,2.1,5.4,5.1,3.8,8.9,SG,76.5,192.4,75.25,100.5,40,19.41
Travis Leslie,JR,2011,Georgia,SEC,0.561,0.51,12.2,13.6,12.9,20.6,2.3,2,14.3,24.4,486,3.4,1.7,5.2,6.5,2.3,8.9,SG,75,205,82.5,103,147,21.23
Bobby Portis,SO,2015,Arkansas,SEC,0.575,0.543,12.433,19.033,15.7,9.5,2.1,5.167,9.567,24.933,522.333,3.6,1.9,5.533,6.7,1.9,8.5,PF,81.5,246.2,86,108.5,17,20.37
Tristan Thompson,FR,2011,Texas,Big 12,0.536,0.546,14,13.7,13.8,8.1,1.8,7.2,12.7,22.4,475,2.8,2.7,5.5,4.4,4.5,8.9,PF,79.5,227.4,85.25,108.5,12,20.28
Isaiah Whitehead,SO,2016,Seton Hall,Big East,0.511,0.458,1.8,9.8,5.9,33,2.1,4.5,16.4,31.6,624,2.1,2.1,4.2,6,2.9,8.9,PG,75.25,210,80.75,100,11,21.3
Quinn Cook,SR,2015,Duke,ACC,0.583,0.543,1.52,9.073,5.373,20.393,2.127,0.167,11.293,20.167,478.133,3.853,1.6,5.453,5.653,2.287,7.893,PG,72.25,179,76,96.5,30,22.26
Kelly Oubre,FR,2015,Kansas,Big 12,0.555,0.512,6.4,19.2,13.2,8.1,3.3,1.8,12.5,23.1,303,1.7,1.7,3.4,4.7,4.1,8.8,SF,77.75,202.8,86.25,102.5,8,19.54
Thomas Robinson,JR,2012,Kansas,Big 12,0.562,0.542,13.767,32.233,23.233,11.4,1.9,3.567,15.067,28.7,521.667,2.933,2.767,5.733,4.833,3.133,7.933,PF,79.75,244.2,87.25,106,25,21.28
Landry Shamet,SO,2018,Wichita State,AAC,0.646,0.614,1.933,9.4,5.8,26.6,1.4,0.767,13.9,20.067,451.333,3.667,1.4,5.1,6.8,1.9,8.667,PG,76,188.6,78.75,100,171,21.27
Tyler Ennis,FR,2014,Syracuse,ACC,0.511,0.453,2.6,9,5.7,32.3,3.9,0.7,11.9,21.9,480,3.2,2.2,5.5,4.8,3.9,8.7,PG,73,181.5,79.25,98,27,19.84
Richaun Holmes,SR,2015,Bowling Green State,MAC,0.611,0.58,11.457,19.543,15.529,6.386,1.714,11.029,13.814,23.186,383.714,2.643,2.057,4.643,4,3.157,7.171,PF,80.25,242.8,85.5,108,187,21.69
Cory Jefferson,SR,2014,Baylor,Big 12,0.576,0.547,11.043,21.486,16.314,5.086,0.929,6.4,9.357,22.086,418.286,3.171,1.557,4.743,4.671,2.071,6.757,PF,79.75,218.4,84.5,105,78,23.5
Johnathan Motley,JR,2017,Baylor,Big 12,0.565,0.539,14.114,19.414,16.814,13.471,1,5.071,15.529,27.957,460.714,2.6,1.671,4.271,4.186,2.4,6.614,PF,79.75,238.2,88,108,109,22.14
